city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Neuchâtel,Neuchatel,47,6.9333,Switzerland,CH,CHE,Neuchâtel,admin,33475,1756726571
Landecy,Landecy,46.1834,6.1166,Switzerland,CH,CHE,Genève,,31942,1756407034
Zug,Zug,47.1681,8.5169,Switzerland,CH,CHE,Zug,admin,30542,1756703208
Yverdon-les-Bains,Yverdon-les-Bains,46.7785,6.6408,Switzerland,CH,CHE,Vaud,minor,30157,1756916105
Emmen,Emmen,47.0833,8.3,Switzerland,CH,CHE,Luzern,,29292,1756487266
Dübendorf,Dubendorf,47.4167,8.6167,Switzerland,CH,CHE,Zürich,,28002,1756017706
Kriens,Kriens,47.0333,8.2833,Switzerland,CH,CHE,Luzern,,26997,1756901807
Rapperswil-Jona,Rapperswil-Jona,47.2167,8.8167,Switzerland,CH,CHE,Sankt Gallen,minor,26995,1756219797
Dietikon,Dietikon,47.4,8.4,Switzerland,CH,CHE,Aargau,,26936,1756546516
Montreux,Montreux,46.435,6.9125,Switzerland,CH,CHE,Vaud,,25984,1756041272
Baar,Baar,47.2,8.5167,Switzerland,CH,CHE,Zug,,24464,1756858308
Wetzikon,Wetzikon,47.3167,8.8,Switzerland,CH,CHE,Zürich,,24452,1756078126
Meyrin,Meyrin,46.2167,6.0667,Switzerland,CH,CHE,Genève,,24144,1756962454
Wil,Wil,47.4667,9.05,Switzerland,CH,CHE,Sankt Gallen,minor,23955,1756263917
Horgen,Horgen,47.2608,8.5975,Switzerland,CH,CHE,Zürich,,23319,1756066280
Bulle,Bulle,46.6167,7.05,Switzerland,CH,CHE,Fribourg,,22709,1756347311
Carouge,Carouge,46.1833,6.1333,Switzerland,CH,CHE,Genève,,22336,1756165206
Frauenfeld,Frauenfeld,47.55,8.9,Switzerland,CH,CHE,Thurgau,admin,22313,1756399413
Kreuzlingen,Kreuzlingen,47.6333,9.1667,Switzerland,CH,CHE,Thurgau,minor,21801,1756463563
Oberwingert,Oberwingert,47.517,8.769,Switzerland,CH,CHE,Zürich,,21748,1756012377
Wädenswil,Wadenswil,47.2333,8.6667,Switzerland,CH,CHE,Zürich,,21716,1756533832
Aarau,Aarau,47.4,8.05,Switzerland,CH,CHE,Aargau,admin,21503,1756722157
Riehen,Riehen,47.5833,7.6333,Switzerland,CH,CHE,Basel-Stadt,,21448,1756991792
Allschwil,Allschwil,47.55,7.5333,Switzerland,CH,CHE,Basel-Landschaft,,21150,1756684864
Renens,Renens,46.5333,6.5833,Switzerland,CH,CHE,Vaud,minor,20927,1756264043
Wettingen,Wettingen,47.4667,8.3333,Switzerland,CH,CHE,Aargau,,20843,1756544966
Nyon,Nyon,46.3833,6.2333,Switzerland,CH,CHE,Vaud,,20272,1756289111
Bülach,Bulach,47.5167,8.5333,Switzerland,CH,CHE,Zürich,,20046,1756393445
Vevey,Vevey,46.4667,6.85,Switzerland,CH,CHE,Vaud,,19891,1756579162
Opfikon,Opfikon,47.4333,8.5667,Switzerland,CH,CHE,Zürich,,19864,1756222668
Kloten,Kloten,47.45,8.5833,Switzerland,CH,CHE,Zürich,,19362,1756844710
Reinach,Reinach,47.4833,7.5833,Switzerland,CH,CHE,Basel-Landschaft,,19144,1756011617
Baden,Baden,47.4667,8.3,Switzerland,CH,CHE,Aargau,,19122,1756517451
Onex,Onex,46.1833,6.1,Switzerland,CH,CHE,Genève,,18977,1756617916
Adliswil,Adliswil,47.3167,8.5333,Switzerland,CH,CHE,Zürich,,18731,1756221733
Schlieren,Schlieren,47.4,8.45,Switzerland,CH,CHE,Zürich,,18731,1756013633
Volketswil,Volketswil,47.3833,8.7,Switzerland,CH,CHE,Zürich,,18615,1756554999
Thalwil,Thalwil,47.2833,8.5667,Switzerland,CH,CHE,Zürich,,18525,1756199955
Olten,Olten,47.35,7.9,Switzerland,CH,CHE,Solothurn,,18362,1756558985
Pully,Pully,46.5167,6.6667,Switzerland,CH,CHE,Vaud,,18313,1756456471
Regensdorf,Regensdorf,47.4333,8.4667,Switzerland,CH,CHE,Zürich,,18253,1756820070
Gossau,Gossau,47.4167,9.25,Switzerland,CH,CHE,Sankt Gallen,,18171,1756392610
Muttenz,Muttenz,47.5167,7.65,Switzerland,CH,CHE,Basel-Landschaft,,17809,1756008285
Monthey,Monthey,46.25,6.95,Switzerland,CH,CHE,Valais,,17777,1756628597
Ostermundigen,Ostermundigen,46.955,7.4894,Switzerland,CH,CHE,Bern,,17751,1756779389
Stegen,Stegen,47.476,8.77,Switzerland,CH,CHE,Zürich,,17630,1756008872
Littau,Littau,47.05,8.2667,Switzerland,CH,CHE,Luzern,,17224,1756821740
Martigny,Martigny,46.1,7.0667,Switzerland,CH,CHE,Valais,,17215,1756450627
Grenchen,Grenchen,47.1906,7.3964,Switzerland,CH,CHE,Solothurn,,17140,1756258549
Sierre,Sierre,46.3,7.5333,Switzerland,CH,CHE,Valais,,16790,1756959511
Solothurn,Solothurn,47.2167,7.5333,Switzerland,CH,CHE,Solothurn,admin,16777,1756650126
Pratteln,Pratteln,47.5167,7.7,Switzerland,CH,CHE,Basel-Landschaft,,16621,1756235773
Burgdorf,Burgdorf,47.05,7.6167,Switzerland,CH,CHE,Bern,,16420,1756999920
Freienbach,Freienbach,47.2,8.75,Switzerland,CH,CHE,Schwyz,,16391,1756905696
Wallisellen,Wallisellen,47.4167,8.6,Switzerland,CH,CHE,Zürich,,16315,1756960820
Wohlen,Wohlen,47.35,8.2833,Switzerland,CH,CHE,Aargau,,16078,1756643512
Locarno,Locarno,46.1667,8.8,Switzerland,CH,CHE,Ticino,,16012,1756696211
Herisau,Herisau,47.3833,9.2667,Switzerland,CH,CHE,Appenzell Ausserrhoden,admin,15744,1756581563
Steffisburg,Steffisburg,46.7667,7.6333,Switzerland,CH,CHE,Bern,,15709,1756440418
Morges,Morges,46.5167,6.5,Switzerland,CH,CHE,Vaud,,15705,1756647288
Binningen,Binningen,47.5333,7.5667,Switzerland,CH,CHE,Basel-Landschaft,,15675,1756488918
Langenthal,Langenthal,47.2167,7.7833,Switzerland,CH,CHE,Bern,,15624,1756087578
Einsiedeln,Einsiedeln,47.1167,8.7333,Switzerland,CH,CHE,Schwyz,minor,15550,1756410538
Lyss,Lyss,47.0667,7.3,Switzerland,CH,CHE,Bern,,15282,1756010328
Schwyz,Schwyz,47.0167,8.65,Switzerland,CH,CHE,Schwyz,admin,15181,1756270644
Wülflingen,Wulflingen,47.51,8.683,Switzerland,CH,CHE,Zürich,,15096,1756013743
Mendrisio,Mendrisio,45.8667,8.9833,Switzerland,CH,CHE,Ticino,,14942,1756337416
Arbon,Arbon,47.5167,9.4333,Switzerland,CH,CHE,Thurgau,,14537,1756486653
Liestal,Liestal,47.4667,7.7333,Switzerland,CH,CHE,Basel-Landschaft,admin,14390,1756371637
Stäfa,Stafa,47.24,8.73,Switzerland,CH,CHE,Zürich,,14389,1756312480
Küsnacht,Kusnacht,47.3167,8.5833,Switzerland,CH,CHE,Zürich,,14387,1756976671
Horw,Horw,47.0167,8.3167,Switzerland,CH,CHE,Luzern,,14243,1756927189
Thônex,Thonex,46.1833,6.1833,Switzerland,CH,CHE,Genève,,14122,1756784451
Meilen,Meilen,47.2667,8.6333,Switzerland,CH,CHE,Zürich,,13999,1756411281
Oftringen,Oftringen,47.3167,7.9167,Switzerland,CH,CHE,Aargau,,13791,1756569554
Amriswil,Amriswil,47.55,9.3,Switzerland,CH,CHE,Thurgau,,13534,1756967253
Rheinfelden,Rheinfelden,47.55,7.8,Switzerland,CH,CHE,Aargau,minor,13528,1756486705
Versoix,Versoix,46.2833,6.1667,Switzerland,CH,CHE,Genève,,13422,1756526224
Richterswil,Richterswil,47.2167,8.7,Switzerland,CH,CHE,Zürich,,13407,1756472939
Zollikon,Zollikon,47.3333,8.5833,Switzerland,CH,CHE,Zürich,,13367,1756438023
Brig-Glis,Brig-Glis,46.3167,7.9667,Switzerland,CH,CHE,Valais,minor,13109,1756778801
Gland,Gland,46.42,6.27,Switzerland,CH,CHE,Vaud,,13106,1756505867
Küssnacht,Kussnacht,47.0667,8.4333,Switzerland,CH,CHE,Schwyz,minor,13084,1756750260
Muri,Muri,46.9333,7.4833,Switzerland,CH,CHE,Bern,,13054,1756349869
Uzwil,Uzwil,47.4369,9.1333,Switzerland,CH,CHE,Sankt Gallen,,12885,1756713626
Ecublens,Ecublens,46.5333,6.5667,Switzerland,CH,CHE,Vaud,,12854,1756001755
Spiez,Spiez,46.6833,7.6667,Switzerland,CH,CHE,Bern,,12810,1756813024
Delémont,Delemont,47.3667,7.35,Switzerland,CH,CHE,Jura,admin,12682,1756748908
Buchs,Buchs,47.1667,9.4667,Switzerland,CH,CHE,Sankt Gallen,,12612,1756006204
Prilly,Prilly,46.5333,6.6,Switzerland,CH,CHE,Vaud,,12399,1756590980
Affoltern am Albis,Affoltern am Albis,47.2833,8.45,Switzerland,CH,CHE,Zürich,,12226,1756025824
Chêne-Bougeries,Chene-Bougeries,46.1833,6.1833,Switzerland,CH,CHE,Genève,,12215,1756147685
Rüti,Ruti,47.2667,8.85,Switzerland,CH,CHE,Zürich,,12170,1756152565
Le Grand-Saconnex,Le Grand-Saconnex,46.2333,6.1167,Switzerland,CH,CHE,Genève,,12162,1756885352
Mattenhof,Mattenhof,47.487,8.747,Switzerland,CH,CHE,Zürich,,12098,1756012852
Münchenstein,Munchenstein,47.5167,7.6167,Switzerland,CH,CHE,Basel-Landschaft,,12096,1756012839
Villars-sur-Glâne,Villars-sur-Glane,46.7833,7.1167,Switzerland,CH,CHE,Fribourg,,12092,1756439374
Arth,Arth,47.0633,8.5218,Switzerland,CH,CHE,Schwyz,,11983,1756840226
Pfäffikon,Pfaffikon,47.3667,8.7833,Switzerland,CH,CHE,Zürich,minor,11931,1756406468
La Tour-de-Peilz,La Tour-de-Peilz,46.45,6.8667,Switzerland,CH,CHE,Vaud,,11829,1756611497
Spreitenbach,Spreitenbach,47.4167,8.3667,Switzerland,CH,CHE,Aargau,,11788,1756282407
Altstätten,Altstatten,47.3833,9.55,Switzerland,CH,CHE,Sankt Gallen,minor,11730,1756529261
Waltikon,Waltikon,47.3667,8.5833,Switzerland,CH,CHE,Zürich,,11690,1756526339
Zofingen,Zofingen,47.2833,7.9333,Switzerland,CH,CHE,Aargau,,11655,1756295445
Veyrier,Veyrier,46.1667,6.1833,Switzerland,CH,CHE,Genève,,11609,1756988678
Bassersdorf,Bassersdorf,47.45,8.6333,Switzerland,CH,CHE,Zürich,,11593,1756124438
Weinfelden,Weinfelden,47.5667,9.1,Switzerland,CH,CHE,Thurgau,minor,11534,1756205526
Belp,Belp,46.8833,7.5,Switzerland,CH,CHE,Bern,,11510,1756855405
Worb,Worb,46.9333,7.5667,Switzerland,CH,CHE,Bern,,11311,1756060343
Männedorf,Mannedorf,47.25,8.6833,Switzerland,CH,CHE,Zürich,,11242,1756961965
Hinwil,Hinwil,47.3,8.85,Switzerland,CH,CHE,Zürich,minor,11179,1756628529
Romanshorn,Romanshorn,47.5667,9.3833,Switzerland,CH,CHE,Thurgau,,11167,1756539997
Oberwil,Oberwil,47.5167,7.55,Switzerland,CH,CHE,Basel-Landschaft,,11136,1756150153
Brugg,Brugg,47.4864,8.2067,Switzerland,CH,CHE,Aargau,,11129,1756121125
Möhlin,Mohlin,47.55,7.85,Switzerland,CH,CHE,Aargau,,11042,1756997029
Davos,Davos,46.8,9.8333,Switzerland,CH,CHE,Graubünden,minor,10862,1756286446
Risch,Risch,47.1333,8.4667,Switzerland,CH,CHE,Zug,,10857,1756009086
Plan-les-Ouates,Plan-les-Ouates,46.1667,6.1167,Switzerland,CH,CHE,Genève,,10656,1756223041
Lenzburg,Lenzburg,47.3833,8.1833,Switzerland,CH,CHE,Aargau,,10569,1756304845
Flawil,Flawil,47.4167,9.2,Switzerland,CH,CHE,Sankt Gallen,,10520,1756417053
Neuhausen am Rheinfall,Neuhausen am Rheinfall,47.6833,8.6167,Switzerland,CH,CHE,Schaffhausen,,10510,1756815481
Le Locle,Le Locle,47.0532,6.7482,Switzerland,CH,CHE,Neuchâtel,,10433,1756888589
Suhr,Suhr,47.3667,8.0833,Switzerland,CH,CHE,Aargau,,10424,1756546975
Sarnen,Sarnen,46.8961,8.2456,Switzerland,CH,CHE,Obwalden,admin,10368,1756451113
Aesch,Aesch,47.4667,7.5833,Switzerland,CH,CHE,Basel-Landschaft,,10352,1756884116
Birsfelden,Birsfelden,47.5533,7.6233,Switzerland,CH,CHE,Basel-Stadt,,10299,1756780364
Lutry,Lutry,46.5,6.6833,Switzerland,CH,CHE,Vaud,,10289,1756885956
Bernex,Bernex,46.1667,6.0667,Switzerland,CH,CHE,Genève,,10233,1756532909
Maur,Maur,47.35,8.6667,Switzerland,CH,CHE,Zürich,,10148,1756776962
Aigle,Aigle,46.3167,6.9667,Switzerland,CH,CHE,Vaud,,10131,1756593148
Naters,Naters,46.3167,7.9833,Switzerland,CH,CHE,Valais,,10073,1756559781
Steinhaus,Steinhaus,47.2,8.4833,Switzerland,CH,CHE,Luzern,,10025,1756020648
Payerne,Payerne,46.8167,6.9333,Switzerland,CH,CHE,Vaud,,9943,1756860201
Gossau,Gossau,47.3167,8.75,Switzerland,CH,CHE,Zürich,,9937,1756178316
